단축코드,한글 종목명
098120,(주)마이크로컨텍솔루션
009520,(주)포스코엠텍
095570,AJ네트웍스보통주
006840,AK홀딩스보통주
282330,BGF리테일보통주
027410,BGF보통주
138930,BNK금융지주보통주
001460,BYC보통주
001040,CJ보통주
011150,CJ씨푸드보통주
058820,CMG제약
000590,CS홀딩스보통주
012030,DB Inc.보통주
005830,DB손해보험보통주
016610,DB증권보통주
000990,DB하이텍보통주
001530,DI동일보통주
000210,DL보통주
375500,DL이앤씨보통주
155660,DSR보통주
069730,DSR제강보통주
017860,DS단석보통주
017940,E1보통주
365550,ESR켄달스퀘어리츠보통주
050120,ES큐브
383220,F&F보통주
007700,F&F홀딩스
006360,GS건설보통주
078930,GS보통주
012630,HDC보통주
294870,HDC현대산업개발보통주
097230,HJ중공업보통주
014790,HL D&I보통주
024850,HLB이노베이션
204320,HL만도보통주
060980,HL홀딩스보통주
035000,HS애드보통주
003560,IHQ보통주
015360,INVENI보통주
175330,JB금융지주보통주
234080,JW생명과학보통주
001060,JW중외제약보통주
096760,JW홀딩스 보통주
105560,KB금융지주 보통주
432320,KB스타리츠보통주
024120,KB오토시스
009070,KCTC 보통주
044180,KD
003620,KG모빌리티보통주
016380,KG스틸보통주
001390,KG케미칼보통주
033180,KH 필룩스보통주
001940,KISCO홀딩스보통주
025000,KPX케미칼보통주
092230,KPX홀딩스보통주
000040,KR모터스보통주
093050,LF보통주
034220,LG디스플레이보통주
003550,LG보통주
051900,LG생활건강보통주
373220,LG에너지솔루션보통주
032640,LG유플러스보통주
011070,LG이노텍보통주
066570,LG전자보통주
051910,LG화학보통주
079550,LIG넥스원보통주
010120,LS ELECTRIC보통주
000680,LS네트웍스보통주
006260,LS보통주
229640,LS에코에너지보통주
108320,LX세미콘보통주
001120,LX인터내셔널보통주
086960,MDS테크
023150,MH에탄올보통주
035420,NAVER보통주
181710,NHN보통주
338100,NH프라임리츠보통주
034310,NICE보통주
063570,NICE인프라
008260,NI스틸보통주
004250,NPC보통주
456040,OCI보통주
010950,S-Oil보통주
005090,SGC에너지보통주
001380,SG글로벌보통주
001770,SHD보통주
002360,SH에너지화학보통주
009160,SIMPAC보통주
123700,SJM보통주
025530,SJM홀딩스보통주
011790,SKC보통주
018670,SK가스보통주
001740,SK네트웍스보통주
210980,SK디앤디보통주
395400,SK리츠보통주
034730,SK보통주
402340,SK스퀘어보통주
260870,SK시그넷
361610,SK아이이테크놀로지보통주
100090,SK오션플랜트보통주
096770,SK이노베이션 보통주
001510,SK증권보통주
285130,SK케미칼보통주
017670,SK텔레콤보통주
003570,SNT다이내믹스보통주
064960,SNT모티브보통주
100840,SNT에너지보통주
036530,SNT홀딩스보통주
005610,SPC삼립보통주
465770,STX그린로지스보통주
011810,STX보통주
077970,STX엔진보통주
084870,TBH글로벌보통주
002710,TCC스틸보통주
024070,WISCOM보통주
079940,가비아
078890,가온그룹
000500,가온전선보통주
399720,가온칩스
296520,가이아코퍼레이션
036620,감성코퍼레이션
000860,강남제비스코보통주
198440,강동씨앤엘
217730,강스템바이오텍
035250,강원랜드보통주
114190,강원에너지
094480,갤럭시아머니트리
011420,갤럭시아에스엠보통주
039240,경남스틸
053950,경남제약
002100,경농보통주
009450,경동나비엔보통주
267290,경동도시가스보통주
012320,경동인베스트보통주
011040,경동제약
000050,경방보통주
214390,경보제약보통주
012610,경인양행보통주
009140,경인전자보통주
024910,경창산업
013580,계룡건설산업보통주
012200,계양전기보통주
002140,고려산업보통주
049720,고려신용정보
010130,고려아연보통주
002240,고려제강보통주
014570,고려제약
348150,고바이오랩
950190,고스트스튜디오
098460,고영테크놀러지
035290,골드앤에스
215000,골프존
121440,골프존홀딩스
366030,공구우먼
009290,광동제약보통주
086220,광동헬스바이오
014200,광림
017040,광명전기보통주
029480,광무
017900,광전자보통주
037710,광주신세계보통주
026910,광진실업
456490,교보14호기업인수목적
465320,교보15호기업인수목적
482520,교보16호기업인수목적
489210,교보17호기업인수목적
030610,교보증권보통주
339770,교촌에프앤비보통주
053270,구영테크
007690,국도화학보통주
066620,국보디자인
001140,국보보통주
043650,국순당
006050,국영지앤엠
060480,국일신동
078130,국일제지
307750,국전약품
002720,국제약품보통주
035080,그래디언트
114090,그랜드코리아레저보통주
900290,그레이트리치과기유한공사
453450,그리드위즈
204020,그리티
402490,그린리소스
114450,그린생명과학
083420,그린케미칼보통주
186230,그린플러스
014530,극동유화보통주
083450,글로벌스탠다드테크놀로지
900070,글로벌에스엠테크리미티드
204620,글로벌텍스프리
019660,글로본
014280,금강공업보통주
053260,금강철강
008870,금비보통주
282720,금양그린파워
001570,금양보통주
002990,금호건설보통주
011780,금호석유화학보통주
214330,금호에이치티보통주
001210,금호전기보통주
073240,금호타이어보통주
036190,금화피에스시
049080,기가레인
420770,기가비스
035460,기산텔레콤
092440,기신정기 보통주
000270,기아보통주
456700,길교이앤씨
013700,까뮤이앤씨보통주
004540,깨끗한나라보통주
407400,꿈비
187790,나노
121600,나노신소재
286750,나노실리칸첨단소재
247660,나노씨엠에스
039860,나노엔텍
091970,나노캠텍
417010,나노팀
244880,나눔테크
405920,나라셀라
288490,나라소프트
051490,나라엠앤디
137080,나래나노텍
190510,나무가
242040,나무기술
459510,나우로보틱스
293580,나우아이비캐피탈
257990,나우코스
138610,나이벡
130580,나이스디앤비
036800,나이스정보통신
030190,나이스평가정보보통주
267320,나인테크
001260,남광토건보통주
008350,남선알미늄보통주
004270,남성보통주
003920,남양유업보통주
025860,남해화학보통주
111710,남화산업
091590,남화토건
168330,내츄럴엔도텍
094860,네오리진
253590,네오셈
212560,네오오토
095660,네오위즈
042420,네오위즈홀딩스
950220,네오이뮨텍
311390,네오크레마
085910,네오티스
092730,네오팜
290660,네오펙트
306620,네온테크
153460,네이블
007390,네이처셀
033640,네패스
330860,네패스아크
351320,넥사다이내믹스
005720,넥센보통주
002350,넥센타이어보통주
089140,넥스턴바이오사이언스
389650,넥스트바이오메디컬
137940,넥스트아이
160550,넥스트엔터테인먼트월드
396270,넥스트칩
348210,넥스틴
092790,넥스틸보통주
225570,넥슨게임즈
205500,넥써쓰
217270,넵튠
251270,넷마블보통주
317860,노드메이슨
104620,노랑풍선
090350,노루페인트 보통주
000320,노루홀딩스보통주
473980,노머스
194700,노바렉스
285490,노바텍
145170,노브랜드
229500,노브메타파마
106520,노블엠앤비
376930,노을
006280,녹십자보통주
142280,녹십자엠에스
234690,녹십자웰빙
005250,녹십자홀딩스보통주
004370,농심보통주
072710,농심홀딩스보통주
154030,농업회사법인 아시아종묘
054050,농업회사법인 엔에이치농우바이오
403490,농업회사법인 우듬지팜
069140,누리플랜
040160,누리플렉스
332290,누보
348340,뉴로메카
380550,뉴로핏
060260,뉴보텍
463020,뉴엔에이아이
123840,뉴온
012340,뉴인텍
462310,뉴키즈온
270870,뉴트리
144960,뉴파워프라즈마
085670,뉴프렉스
064260,다날
340360,다보링크
039560,다산네트웍스
154040,다산솔루에타
058730,다스코보통주
030210,다올투자증권보통주
023590,다우기술보통주
032190,다우데이타
323350,다원넥스뷰
068240,다원시스
145210,다이나믹디자인보통주
483650,달바글로벌보통주
464580,닷밀
019680,대교보통주
006370,대구백화점보통주
008060,대덕보통주
353200,대덕전자보통주
178600,대동고려삼 주식회사
020400,대동금속
008830,대동기어
000490,대동보통주
048470,대동스틸
008110,대동전자보통주
004780,대륙제관
005750,대림바스보통주
017650,대림제지
006570,대림통상보통주
389260,대명에너지
317850,대모엔지니어링
290670,대보마그네틱
078140,대봉엘에스
065150,대산에프앤비
001680,대상보통주
084690,대상홀딩스 보통주
036480,대성미생물연구소
128820,대성산업보통주
117580,대성에너지보통주
027830,대성창업투자
104040,대성파인텍
129920,대성하이텍
016710,대성홀딩스보통주
457630,대신밸런스제16호기업인수목적
471050,대신밸런스제17호기업인수목적
478780,대신밸런스제18호기업인수목적
482690,대신밸런스제19호기업인수목적
0030R0,대신밸류리츠위탁관리부동산투자회사보통주
020180,대신정보통신
003540,대신증권보통주
045390,대아티아이
009190,대양금속보통주
108380,대양전기공업
014160,대영포장보통주
047040,대우건설보통주
003090,대웅보통주
069620,대웅제약보통주
007680,대원
000430,대원강업보통주
048910,대원미디어
005710,대원산업
006340,대원전선보통주
003220,대원제약보통주
024890,대원화성보통주
290380,대유
002880,대유에이텍
120240,대정화금
003310,대주산업
114920,대주이엔티 주식회사
078600,대주전자재료
393970,대진첨단소재
015230,대창단조보통주
012800,대창보통주
096350,대창솔루션
140520,대창스틸
131220,대한과학
010170,대한광통신
054670,대한뉴팜
001070,대한방직보통주
023910,대한약품공업
006650,대한유화보통주
001440,대한전선보통주
084010,대한제강 보통주
001790,대한제당보통주
001130,대한제분보통주
439260,대한조선보통주
003490,대한항공보통주
005880,대한해운보통주
003830,대한화섬보통주
016090,대현보통주
069460,대호에이엘보통주
021040,대호특수강
067080,대화제약
043090,더 테크놀로지
298540,더네이쳐홀딩스
032860,더라미
214610,더바이오메드
475560,더본코리아보통주
192080,더블유게임즈보통주
393890,더블유씨피
299170,더블유에스아이
089230,더이앤엠
012510,더존비즈온보통주
462860,더즌
224060,더코디
302920,더콘텐츠온
013720,더큐브앤
213420,덕산네오룩스
317330,덕산테코피아
077360,덕산하이메탈
004830,덕성보통주
090410,덕신이피씨
263600,덕우전자
194480,데브시스터즈
373160,데이원컴퍼니
263800,데이타솔루션
199150,데이터스트림즈
206560,덱스터스튜디오
261200,덴티스
145720,덴티움보통주
227420,도부
484120,도우인시스
067990,도이치모터스
002150,도화엔지니어링보통주
006620,동구바이오제약
005160,동국산업
303810,동국생명과학
460850,동국씨엠보통주
075970,동국알앤에스
100130,동국에스엔씨
460860,동국제강보통주
086450,동국제약
001230,동국홀딩스보통주
240550,동방메디컬
004140,동방보통주
099410,동방선기
007590,동방아그로보통주
005960,동부건설보통주
026960,동서보통주
002210,동성제약보통주
102260,동성케미컬보통주
033500,동성화인텍
025950,동신건설
000640,동아쏘시오홀딩스보통주
170900,동아에스티보통주
088130,동아엘텍
028100,동아지질보통주
041930,동아화성
084670,동양고속보통주
001520,동양보통주
082640,동양생명보험보통주
060380,동양에스텍
079960,동양이엔피
008970,동양철관보통주
228340,동양파일
088910,동우팜투테이블
094170,동운아나텍
013120,동원개발
018500,동원금속보통주
006040,동원산업보통주
030720,동원수산보통주
014820,동원시스템즈보통주
111380,동인기연보통주
163560,동일고무벨트보통주
109860,동일금속
032960,동일기연
004890,동일산업보통주
023790,동일스틸럭스
002690,동일제강보통주
005290,동진쎄미켐
025900,동화기업
000020,동화약품보통주
454910,두산로보틱스보통주
241560,두산밥캣보통주
000150,두산보통주
034020,두산에너빌리티보통주
131970,두산테스나
336260,두산퓨얼셀보통주
016740,두올보통주
073190,듀오백
176750,듀켐바이오
030350,드래곤플라이
203650,드림시큐리티
223250,드림씨아이에스
060570,드림어스컴퍼니
362990,드림인사이트
192650,드림텍보통주
016670,디모아
187870,디바이스
477760,디비금융제12호기업인수목적
489730,디비금융제13호기업인수목적
0004Y0,디비금융제14호기업인수목적
024090,디씨엠보통주
003160,디아이보통주
092200,디아이씨 보통주
110990,디아이티
004840,디알비동일보통주
263690,디알젬
214680,디알텍
347850,디앤디파마텍
377190,디앤디플랫폼리츠보통주
263720,디앤씨미디어
376300,디어유
241520,디에스씨인베스트먼트
109740,디에스케이
031860,디에이치엑스컴퍼니
000300,디에이치오토넥스보통주
290120,디에이치오토리드
025440,디에이치오토웨어
196490,디에이테크놀로지
066900,디에이피
180400,디엑스앤브이엑스
092070,디엔에프
007340,디엔오토모티브보통주
068790,디엠에스
039840,디오
024900,디와이덕양보통주
219550,디와이디
013570,디와이보통주
310870,디와이씨
210540,디와이파워보통주
092780,디와이피보통주
104460,디와이피엔에프
079810,디이엔티
113810,디젠스
043360,디지아이
099520,디지아이티엑스
197140,디지캡
068930,디지털대성
033130,디지틀조선일보
060900,디지피
105740,디케이락
263020,디케이앤디
015590,디케이엠이보통주
290550,디케이티
066670,디티씨
187220,디티앤씨
383930,디티앤씨알오
131180,딜리
315640,딥노이드
223310,딥마인드플랫폼
317120,라닉스
462510,라메디텍
042510,라온시큐어
232680,라온테크
418420,라온텍
300120,라온피플
171120,라이온켐텍
388790,라이콤
214260,라파스
403360,라피치
171010,램테크놀러지
084650,랩지노믹스
217500,러셀
092590,럭스피아
038390,레드캡투어
294140,레몬
443250,레뷰코퍼레이션
228670,레이
228850,레이언스
412350,레이저쎌
199550,레이저옵텍
281740,레이크머티리얼즈
277810,레인보우로보틱스
215100,로보로보
090360,로보스타
238500,로보쓰리에이아이
108490,로보티즈
900260,로스웰인터내셔널
223220,로지스몬
067730,로지시스
071280,로체시스템즈
376900,로킷헬스케어
032350,롯데관광개발 보통주
089860,롯데렌탈보통주
330590,롯데리츠보통주
000400,롯데손해보험보통주
023530,롯데쇼핑 보통주
020150,롯데에너지머티리얼즈보통주
280360,롯데웰푸드보통주
286940,롯데이노베이트보통주
004000,롯데정밀화학보통주
004990,롯데지주보통주
005300,롯데칠성음료보통주
011170,롯데케미칼보통주
071840,롯데하이마트보통주
328130,루닛
038060,루멘스
474170,루미르
162120,루켄테크놀러지스
253610,루트락
141080,리가켐 바이오사이언스
058470,리노공업
016100,리더스코스메틱
012700,리드코프
302550,리메드
073570,리튬포어스
377450,리파인
277070,린드먼아시아인베스트먼트
042500,링네트
193250,링크드
474650,링크솔루션
219420,링크제니시스
439090,마녀공장
027740,마니커보통주
195500,마니커에프앤지
357430,마스턴프리미어리츠보통주
377480,마음에이아이
305090,마이크로디지탈
448780,마이크로엔엑스
424980,마이크로투나노
169330,마크로밀엠브레인
038290,마크로젠
001080,만호제강보통주
267980,매일유업
005990,매일홀딩스
093520,매커스
088980,맥쿼리한국인프라투융자회사 보통주
179720,머니무브
100590,머큐리
067280,멀티캠퍼스
072870,메가스터디
215200,메가스터디교육
133750,메가엠디
446540,메가터치
235980,메드팩토
200580,메디쎄이
041920,메디아나
233250,메디안디노스틱
014100,메디앙스
236340,메디젠휴먼케어
054180,메디콕스
086900,메디톡스
078160,메디포스트
138040,메리츠금융지주회사보통주
408920,메쎄이상
021880,메이슨캐피탈
140410,메지온
241770,메카로
090370,메타랩스보통주
059210,메타바이오메드
118000,메타케어보통주
058110,멕아이씨에스
017180,명문제약 보통주
009900,명신산업보통주
012690,모나리자보통주
005360,모나미보통주
070960,모나용평보통주
434480,모니터랩
080420,모다이노칩
417970,모델솔루션
080160,모두투어네트워크
087260,모바일어플라이언스
101330,모베이스
012860,모베이스전자
363260,모비데이즈
348030,모비릭스
250060,모비스
288980,모아데이타
142760,모아라이프플러스
033200,모아텍
333050,모코엠시스
009680,모토닉보통주
118990,모트렉스
463480,모티브링크
006920,모헨즈
001810,무림에스피
009200,무림페이퍼보통주
009580,무림피앤피보통주
322970,무진메디
033920,무학보통주
008420,문배철강보통주
279600,미디어젠
095500,미래나노텍
254490,미래반도체
025560,미래산업보통주
218150,미래생명자원
007120,미래아이앤지보통주
396690,미래에셋글로벌리츠보통주
442900,미래에셋드림기업인수목적1호 주식회사
357250,미래에셋맵스리츠보통주
094800,미래에셋맵스아시아퍼시픽부동산공모1호
100790,미래에셋벤처투자
446190,미래에셋비전기업인수목적2호
448830,미래에셋비전기업인수목적3호
477380,미래에셋비전기업인수목적4호
477470,미래에셋비전기업인수목적5호
478440,미래에셋비전기업인수목적6호
482680,미래에셋비전기업인수목적7호
085620,미래에셋생명보험보통주
006800,미래에셋증권보통주
208890,미래엔에듀파트너
049950,미래컴퍼니
207760,미스터블루
081660,미스토홀딩스보통주
002840,미원상사보통주
268280,미원스페셜티케미칼보통주
107590,미원홀딩스 보통주
134380,미원화학보통주
351020,미쥬
003650,미창석유공업보통주
059090,미코
201490,미투온
475460,미트박스글로벌
452200,민테크
206640,바디텍메드
018700,바른손
035620,바른손이앤에이
354390,바스칸바이오제약
053030,바이넥스
301300,바이브컴퍼니
377740,바이오노트보통주
064550,바이오니아
314930,바이오다인
489460,바이오비쥬
086820,바이오솔루션
038460,바이오스마트
251120,바이오에프디엔씨
199730,바이오인프라
266470,바이오인프라생명과학
289170,바이오텐
086040,바이오톡스텍
188040,바이오포트코리아
199290,바이오프로테크
099430,바이오플러스
032980,바이온
308080,바이젠셀
043150,바텍
323990,박셀바이오
003610,방림보통주
267790,배럴
046310,백금티앤에이
035150,백산보통주
331520,밸로프
199480,뱅크웨어글로벌
438700,버넥트
066410,버킷스튜디오
002410,범양건영보통주
382900,범한퓨얼셀
206400,베노티앤알
019010,베뉴지
177350,베셀
457600,벡트
424760,벨로크
007210,벽산보통주
250000,보라티알
002760,보락보통주
003850,보령보통주
310210,보로노이
006910,보성파워텍
000890,보해양조보통주
226340,본느
206950,볼빅
008470,부-스타
003000,부광약품보통주
001270,부국증권보통주
026940,부국철강 보통주
014470,부방
011390,부산산업보통주
005030,부산주공보통주
338220,뷰노
100120,뷰웍스
406820,뷰티스킨
099390,브레인즈컴퍼니
064480,브리지텍
288330,브릿지바이오테라퓨틱스
365900,브이씨
089970,브이엠
251630,브이원텍
018290,브이티
478560,블랙야크아이앤씨
439580,블루엠텍
033560,블루콤
191600,블루탑
369370,블리츠웨이엔터테인먼트
126340,비나텍
121800,비덴트
082800,비보존제약
318410,비비씨
002070,비비안보통주
100220,비상교육 보통주
419540,비스토스
146320,비씨엔씨
200780,비씨월드제약
413640,비아이매트릭스
141000,비아트론
090460,비에이치보통주
083650,비에이치아이
139050,비에프랩스
473370,비엔케이제2호기업인수목적
065170,비엘팜텍
086670,비엠티
335890,비올
230980,비유테크놀러지
126600,비지에프에코머티리얼즈
082920,비츠로셀
054220,비츠로시스
042370,비츠로테크
050090,비케이홀딩스
148780,비큐에이아이
307870,비투엔
377030,비트맥스
032850,비트컴퓨터
238200,비피도
093190,빅솔론
065450,빅텍
044480,빌리언스
005180,빙그레보통주
069540,빛과전자
072950,빛샘전자
266170,뿌리깊은나무들
451250,삐아
143240,사람인
466410,사이냅소프트
003960,사조대림보통주
008040,사조동아원보통주
007160,사조산업보통주
014710,사조씨푸드보통주
006090,사조오양보통주
452430,사피엔반도체
419120,산돌
062040,산일전기보통주
122350,삼기
419050,삼기에너지솔루션즈
014970,삼륭물산
018310,삼목에스폼
012210,삼미금속
053700,삼보모터스
009620,삼보산업
023600,삼보판지
001470,삼부토건보통주
028050,삼성E&A보통주
448730,삼성FN리츠보통주
006400,삼성SDI보통주
006660,삼성공조보통주
448740,삼성기업인수목적8호
028260,삼성물산보통주
207940,삼성바이오로직스보통주
032830,삼성생명보험보통주
018260,삼성에스디에스보통주
009150,삼성전기보통주
005930,삼성전자보통주
001360,삼성제약
010140,삼성중공업보통주
016360,삼성증권보통주
068290,삼성출판사보통주
029780,삼성카드 보통주
000810,삼성화재해상보험보통주
006110,삼아알미늄보통주
009300,삼아제약
145990,삼양사보통주
003230,삼양식품보통주
482630,삼양엔씨켐
036670,삼양케이씨아이
002170,삼양통상보통주
272550,삼양패키징보통주
000070,삼양홀딩스보통주
060310,삼에스코리아
002810,삼영무역보통주
003720,삼영보통주
361670,삼영에스앤씨
054540,삼영엠텍
065570,삼영이엔씨
005680,삼영전자공업보통주
023000,삼원강재 보통주
004380,삼익THK보통주
002450,삼익악기보통주
032280,삼일
002290,삼일기업공사
004440,삼일씨엔에스보통주
000520,삼일제약보통주
009770,삼정펄프 보통주
037460,삼지전자
032750,삼진
054090,삼진엘앤디
005500,삼진제약보통주
000250,삼천당제약
004690,삼천리보통주
024950,삼천리자전거
038500,삼표시멘트
437730,삼현
017480,삼현철강
010960,삼호개발 보통주
046390,삼화네트웍스
004450,삼화왕관보통주
009470,삼화전기보통주
011230,삼화전자공업보통주
001820,삼화콘덴서공업보통주
000390,삼화페인트공업보통주
027580,상보
038540,상상인
452670,상상인제4호기업인수목적
001290,상상인증권보통주
041650,상신브레이크보통주
091580,상신이디피
263810,상신전자
089980,상아프론테크
042940,상지건설
042600,새로닉스
075180,새론오토모티브
107600,새빗켐
411080,샌즈랩
252990,샘씨엔에스
007540,샘표보통주
248170,샘표식품보통주
378800,샤페론
294630,서남
038070,서린바이오사이언스
006730,서부티엔디
079650,서산
100660,서암기계공업
007860,서연보통주
200880,서연이화보통주
019770,서연탑메탈
017390,서울도시가스보통주
043710,서울리거
092190,서울바이오시스
